Time_Iter,Outer_Iter,Inner_Iter,"     ""rms[P]""     ","     ""rms[U]""     ","     ""rms[V]""     ","     ""rms[k]""     ","     ""rms[w]""     ","       ""CD""       ","       ""CL""       ","       ""CSF""      ","       ""CMx""      ","       ""CMy""      ","       ""CMz""      ","       ""CFx""      ","       ""CFy""      ","       ""CFz""      ","      ""CEff""      ",air_center
          0,           0,           0,       -3.64493768,      -3.333968221,      -3.031154654,      -5.432994933,      0.1056074664,     0.05850240198,      0.5252828358,                 0,                 0,                 0,      0.1379555374,    -0.03360078816,      0.5274614447,                 0,       8.978825108,-0.2626309637357467
          0,           0,           1,      -3.883084689,      -3.459794153,      -3.366973286,      -6.287844755,     -0.7463162898,     0.05894845233,      0.5227436484,                 0,                 0,                 0,      0.1361632582,    -0.03272058904,      0.5250382891,                 0,       8.867809547,-0.26047807298427234
          0,           0,           2,      -4.178296754,      -3.849122914,       -3.62673245,       -6.92258594,      -1.419021319,     0.05919653796,       0.521364854,                 0,                 0,                 0,      0.1352039988,    -0.03223684727,      0.5237235213,                 0,       8.807353809,-0.2593270293589832
          0,           0,           3,      -4.247723629,      -3.922377818,      -3.664506081,       -7.09056593,      -1.684563707,     0.05931169697,      0.5206439555,                 0,                 0,                 0,      0.1347165345,    -0.03199825506,       0.523033572,                 0,       8.778099128,-0.2587498290854546
          0,           0,           4,      -4.266560437,      -3.934015954,      -3.677262694,      -7.096517438,      -1.705574412,     0.05940511129,       0.519848436,                 0,                 0,                 0,      0.1342049682,    -0.03176811941,      0.5222663595,                 0,       8.750904169,-0.25816172350665684
          0,           0,           5,      -4.283074739,      -3.940852527,      -3.687699842,      -7.114627754,      -1.743895965,     0.05945782876,      0.5189846072,                 0,                 0,                 0,      0.1336850771,    -0.03156620054,      0.5214248085,                 0,       8.728616871,-0.2575896765440715
          0,           0,           6,      -4.298521168,      -3.945580401,      -3.695960259,      -7.143608391,      -1.812057941,     0.05945739046,      0.5180598976,                 0,                 0,                 0,      0.1331681371,    -0.03140605804,      0.5205140712,                 0,       8.713128739,-0.25705162224855443
          0,           0,           7,      -4.312839075,      -3.949288863,      -3.702782451,      -7.171422825,      -1.894886596,      0.0593983639,       0.517085433,                 0,                 0,                 0,      0.1326622529,    -0.03129497386,      0.5195441611,                 0,        8.70538175,-0.2565577067803417
          0,           0,           8,      -4.325980747,      -3.952157314,      -3.709011245,      -7.191221194,      -1.973573739,     0.05928116064,      0.5160765095,                 0,                 0,                 0,      0.1321734384,    -0.03123519881,      0.5185302133,                 0,       8.705573642,-0.2561120995955737
          0,           0,           9,      -4.337866851,      -3.954349545,       -3.71523214,      -7.202976713,      -2.034747465,     0.05911022078,      0.5150508773,                 0,                 0,                 0,      0.1317057144,    -0.03122544253,      0.5174904792,                 0,       8.713397961,-0.2557139890537179
          0,           0,          10,      -4.348501921,      -3.956089005,      -3.721702613,      -7.209785639,      -2.077599268,      0.0588921217,      0.5140260756,                 0,                 0,                 0,      0.1312607087,    -0.03126227326,      0.5164433741,                 0,       8.728265526,-0.2553580740953368
          0,           0,          11,      -4.358020538,      -3.957519641,        -3.7284655,      -7.214546207,      -2.110578894,     0.05863396022,      0.5130168938,                 0,                 0,                 0,      0.1308372825,     -0.0313412701,      0.5154046948,                 0,       8.749483949,-0.25503503701577324
          0,           0,          12,      -4.366637102,       -3.95868928,      -3.735466707,      -7.218722944,      -2.141373672,       0.058342255,      0.5120335942,                 0,                 0,                 0,      0.1304314597,    -0.03145779549,      0.5143856796,                 0,       8.776376474,-0.25473223080955415
          0,           0,          13,      -4.374574631,      -3.959615687,      -3.742619936,       -7.22264452,      -2.172655686,     0.05802243203,      0.5110811333,                 0,                 0,                 0,      0.1300367262,    -0.03160736652,       0.513392152,                 0,       8.808336973,-0.2544346048549392
          0,           0,          14,      -4.382005218,      -3.960351214,      -3.749832382,      -7.226165606,      -2.203537318,     0.05767878049,      0.5101593392,                 0,                 0,                 0,      0.1296446625,    -0.03178572936,      0.5124246876,                 0,       8.844835741,-0.2541258241068382
          0,           0,          15,      -4.389020433,      -3.961006774,      -3.757011873,      -7.229150098,      -2.232426348,     0.05731467144,       0.509263834,                 0,                 0,                 0,      0.1292458125,    -0.03198880393,      0.5114795603,                 0,       8.885400914,-0.25378949744937124
          0,           0,          16,      -4.395638427,      -3.961739946,      -3.764065743,      -7.231619532,       -2.25884459,     0.05693285071,      0.5083874335,                 0,                 0,                 0,       0.128830672,     -0.0322126386,      0.5105501718,                 0,       8.929597362,-0.2534104179425985
          0,           0,          17,      -4.401836275,      -3.962727957,       -3.77089786,        -7.2336589,      -2.283100552,     0.05653569992,      0.5075217763,                 0,                 0,                 0,       0.128390674,    -0.03245343599,      0.5096287014,                 0,       8.977014118,-0.25297569482832855
          0,           0,          18,      -4.407586184,      -3.964139895,      -3.777410545,      -7.241738164,      -2.426141576,     0.05633822853,      0.5071005551,                 0,                 0,                 0,      0.1281688292,    -0.03257476303,      0.5091795889,                 0,       9.001002841,-0.2527483512115761
          0,           0,          19,      -4.409422868,      -3.964209532,      -3.780021228,      -7.241103424,      -2.409535377,     0.05609308498,      0.5065879657,                 0,                 0,                 0,      0.1278866846,    -0.03272717209,      0.5086322182,                 0,       9.031201722,-0.252447142962204
          0,           0,          20,      -4.411736815,      -3.964821138,      -3.783154709,      -7.240264059,      -2.390049306,     0.05579019916,      0.5059649807,                 0,                 0,                 0,      0.1275260268,    -0.03291727618,      0.5079661022,                 0,       9.069065683,-0.25204516451626435
          0,           0,          21,      -4.414633306,      -3.966188502,      -3.786877939,      -7.239176014,      -2.367365214,     0.05541807917,      0.5052088153,                 0,                 0,                 0,      0.1270626226,    -0.03315243609,      0.5071568067,                 0,       9.116317686,-0.25150515737645723
          0,           0,          22,      -4.418253686,      -3.968661688,      -3.791251714,      -7.237745598,      -2.339521451,     0.05496357398,      0.5042929481,                 0,                 0,                 0,      0.1264651641,    -0.03344099766,      0.5061759296,                 0,       9.175039241,-0.25077718135158666
          0,           0,          23,      -4.422797494,      -3.972726064,      -3.796347978,       -7.24418379,      -2.475677417,     0.05474086523,      0.5038455224,                 0,                 0,                 0,      0.1261646676,    -0.03358262831,      0.5056966283,                 0,       9.204193619,-0.25040347088733006
          0,           0,          24,      -4.424088331,      -3.974157534,      -3.798223803,      -7.243401636,      -2.449393392,     0.05446895632,      0.5033010639,                 0,                 0,                 0,      0.1257863871,    -0.03375586209,      0.5051132249,                 0,       9.240145175,-0.24992275224952096
          0,           0,          25,      -4.425811508,      -3.976349743,      -3.800479023,      -7.242339088,      -2.415392598,     0.05413948138,      0.5026451359,                 0,                 0,                 0,      0.1253128189,    -0.03396643086,      0.5044100492,                 0,       9.284262115,-0.24930673739759548
          0,           0,          26,       -4.42812392,       -3.97945111,      -3.803214971,      -7.240927129,      -2.372784259,     0.05374506035,      0.5018698513,                 0,                 0,                 0,      0.1247261322,    -0.03422023299,      0.5035780524,                 0,       9.337971676,-0.24852286280381317
          0,           0,          27,      -4.431287583,      -3.983610324,      -3.806591261,      -7.239079962,      -2.321037887,      0.0532812927,      0.5009848249,                 0,                 0,                 0,      0.1240119125,    -0.03452327174,      0.5026259391,                 0,       9.402640204,-0.24753626524466812
          0,           0,          28,      -4.435734195,      -3.988903912,      -3.810862951,      -7.246450241,      -2.451332825,     0.05305888241,      0.5005685261,                 0,                 0,                 0,      0.1236637549,     -0.0346700136,      0.5021773437,                 0,       9.434207873,-0.24704660491437958
          0,           0,          29,      -4.437172614,       -3.99064377,      -3.812470203,      -7.245827761,      -2.413123026,      0.0527950694,      0.5000907033,                 0,                 0,                 0,      0.1232433947,    -0.03484684563,      0.5016609694,                 0,       9.472299383,-0.24644208317959343
          0,           0,          30,      -4.439258209,      -3.992869446,      -3.814554647,      -7.244998362,      -2.367794016,     0.05248811187,      0.4995652659,                 0,                 0,                 0,      0.1227451906,    -0.03505789855,       0.501090212,                 0,       9.517684065,-0.24570401302593844
          0,           0,          31,      -4.442259791,      -3.995536831,      -3.817290261,      -7.243935728,      -2.316788019,     0.05214182292,      0.4990318461,                 0,                 0,                 0,      0.1221715817,    -0.03530629921,      0.5005047636,                 0,       9.570663589,-0.2448172048633511
          0,           0,          32,       -4.44655352,      -3.998591085,      -3.820918517,      -7.242567826,      -2.261846251,     0.05176962941,      0.4985747161,                 0,                 0,                 0,      0.1215395961,    -0.03559345846,      0.4999899476,                 0,       9.630641009,-0.24377408676219872
          0,           0,          33,      -4.452615261,       -4.00199126,      -3.825766722,      -7.252843633,      -2.396998827,     0.05160042228,       0.498401577,                 0,                 0,                 0,       0.121248166,    -0.03573002967,      0.4997900564,                 0,       9.658866245,-0.24327404164694288
          0,           0,          34,      -4.454904597,       -4.00272242,      -3.827730027,      -7.252683186,      -2.360003252,     0.05141412011,      0.4982717536,                 0,                 0,                 0,      0.1209212467,    -0.03589095791,      0.4996298543,                 0,       9.691340678,-0.24268131963400946
          0,           0,          35,      -4.457985838,      -4.003713147,      -3.830296455,      -7.252249636,      -2.318224583,       0.051219456,      0.4982416448,                 0,                 0,                 0,      0.1205704118,    -0.03607743629,      0.4995663999,                 0,       9.727585643,-0.24199183881628034
          0,           0,          36,      -4.462074698,      -4.004965765,      -3.833660917,      -7.251366721,      -2.273515637,      0.0510343229,       0.498406206,                 0,                 0,                 0,      0.1202214435,    -0.03628833254,      0.4996963129,                 0,        9.76609814,-0.24121177074588834
          0,           0,          37,       -4.46743776,      -4.006562616,      -3.838076591,      -7.253303219,       -2.27076342,     0.05090304473,      0.4987835946,                 0,                 0,                 0,      0.1199547546,    -0.03648314915,       0.500045172,                 0,       9.798698629,-0.24049458702866489
          0,           0,          38,      -4.472791235,      -4.008019228,      -3.842605701,      -7.254971349,      -2.270136228,     0.05082765349,      0.4993807283,                 0,                 0,                 0,      0.1197752585,    -0.03666108621,      0.5006201424,                 0,        9.82498097,-0.239847578635525
          0,           0,          39,      -4.478119615,      -4.009464757,      -3.847228552,       -7.25623574,      -2.271223203,     0.05080895586,      0.5001989401,                 0,                 0,                 0,      0.1196865637,    -0.03682158077,      0.5014226769,                 0,       9.844700243,-0.23927792345196136
          0,           0,          40,      -4.483434952,       -4.01098481,      -3.851917454,      -7.257020273,      -2.273776464,     0.05084664243,      0.5012347211,                 0,                 0,                 0,      0.1196913057,    -0.03696432822,      0.5024492662,                 0,       9.857774223,-0.23879292607129807
          0,           0,          41,      -4.488779329,      -4.012640214,      -3.856639371,      -7.257298706,       -2.27763033,     0.05093925208,      0.5024803954,                 0,                 0,                 0,      0.1197911829,     -0.0370894346,      0.5036920974,                 0,         9.8643065,-0.23839971468864993
          0,           0,          42,      -4.494216614,      -4.014477509,      -3.861360007,      -7.257084107,      -2.282603833,     0.05108414304,      0.5039248409,                 0,                 0,                 0,      0.1199869349,    -0.03719757017,      0.5051397586,                 0,       9.864603982,-0.23810482270670694
          0,           0,          43,      -4.499818446,      -4.016535457,      -3.866048806,      -7.256414324,      -2.288640663,     0.05127750612,      0.5055542773,                 0,                 0,                 0,      0.1202783133,    -0.03729009337,      0.5067780173,                 0,       9.859182232,-0.23791374873211857
          0,           0,          44,      -4.505649302,      -4.018849035,      -3.870683958,      -7.255333846,      -2.295327561,     0.05151441011,      0.5073530655,                 0,                 0,                 0,      0.1206640252,    -0.03736914478,      0.5085906158,                 0,       9.848760072,-0.23783048414437932
          0,           0,          45,      -4.511753899,      -4.021451272,      -3.875256475,      -7.253873314,      -2.302319442,     0.05178886926,      0.5093044497,                 0,                 0,                 0,      0.1211416403,     -0.0374377096,      0.5105600135,                 0,       9.834245408,-0.23785702318398574
          0,           0,          46,      -4.518148606,      -4.024373147,      -3.879772595,      -7.252039518,      -2.309235595,     0.05209393581,      0.5113912011,                 0,                 0,                 0,      0.1217074817,    -0.03749963828,      0.5126680367,                 0,       9.816712698,-0.23799291313227092
