Cd,0,1,2,3,5,10
50,0.0057077961499,0.0048611772232,0.0049043416903,0.0086990642711,0.012053567038,0.028635965328999997

Cl,0,1,2,3,5,10
50,0.002341851504,0.09043944135000001,0.1892607862,0.3075080448,0.5336852051000001,1.0198747019999999

My,0,1,2,3,5,10
50,0.006769364509,0.022861050299999998,0.04755350858000001,0.07690885665000001,0.14052461220000004,0.26520066550000004

air_center,0,1,2,3,5,10
50,-2.8906036516139406,-0.2527774382365754,-0.2512591727783914,-0.2501035597296997,-0.26330992663300273,-0.2600325951608906

