1.0000,0.2645
0.9933,0.2517
0.9865,0.2271
0.9798,0.2064
0.9731,0.1885
0.9663,0.1723
0.9596,0.1581
0.9529,0.1451
0.9461,0.1328
0.9394,0.1215
0.9327,0.1110
0.9259,0.1010
0.9192,0.0918
0.9124,0.0833
0.9057,0.0753
0.8989,0.0675
0.8922,0.0596
0.8855,0.0520
0.8787,0.0449
0.8720,0.0382
0.8652,0.0319
0.8585,0.0256
0.8517,0.0197
0.8450,0.0142
0.8382,0.0090
0.8315,0.0038
0.8247,-0.0016
0.8180,-0.0069
0.8112,-0.0122
0.8045,-0.0171
0.7977,-0.0219
0.7909,-0.0267
0.7842,-0.0313
0.7774,-0.0359
0.7707,-0.0405
0.7639,-0.0450
0.7572,-0.0493
0.7504,-0.0536
0.7436,-0.0579
0.7369,-0.0621
0.7301,-0.0664
0.7233,-0.0707
0.7166,-0.0750
0.7098,-0.0789
0.7031,-0.0826
0.6963,-0.0862
0.6895,-0.0899
0.6828,-0.0938
0.6760,-0.0976
0.6692,-0.1016
0.6625,-0.1055
0.6557,-0.1095
0.6489,-0.1134
0.6422,-0.1172
0.6354,-0.1209
0.6286,-0.1245
0.6218,-0.1281
0.6151,-0.1318
0.6083,-0.1354
0.6015,-0.1390
0.5948,-0.1426
0.5880,-0.1463
0.5812,-0.1498
0.5744,-0.1533
0.5677,-0.1569
0.5609,-0.1605
0.5541,-0.1644
0.5473,-0.1684
0.5405,-0.1722
0.5338,-0.1760
0.5270,-0.1794
0.5202,-0.1825
0.5134,-0.1857
0.5066,-0.1891
0.4999,-0.1928
0.4931,-0.1967
0.4863,-0.2007
0.4795,-0.2044
0.4727,-0.2078
0.4659,-0.2112
0.4591,-0.2146
0.4524,-0.2179
0.4456,-0.2212
0.4388,-0.2245
0.4320,-0.2279
0.4252,-0.2312
0.4184,-0.2343
0.4116,-0.2375
0.4048,-0.2407
0.3980,-0.2438
0.3912,-0.2470
0.3845,-0.2502
0.3777,-0.2536
0.3709,-0.2569
0.3641,-0.2599
0.3573,-0.2625
0.3505,-0.2651
0.3437,-0.2677
0.3369,-0.2702
0.3301,-0.2727
0.3233,-0.2753
0.3165,-0.2781
0.3097,-0.2809
0.3029,-0.2834
0.2961,-0.2853
0.2893,-0.2868
0.2825,-0.2881
0.2757,-0.2896
0.2689,-0.2913
0.2621,-0.2930
0.2553,-0.2946
0.2485,-0.2955
0.2417,-0.2959
0.2349,-0.2957
0.2282,-0.2953
0.2214,-0.2946
0.2146,-0.2937
0.2078,-0.2925
0.2010,-0.2913
0.1942,-0.2904
0.1874,-0.2894
0.1806,-0.2875
0.1739,-0.2842
0.1671,-0.2795
0.1603,-0.2748
0.1536,-0.2706
0.1468,-0.2659
0.1400,-0.2596
0.1333,-0.2515
0.1265,-0.2427
0.1198,-0.2338
0.1131,-0.2237
0.1063,-0.2115
0.0996,-0.1975
0.0929,-0.1823
0.0863,-0.1653
0.0796,-0.1449
0.0729,-0.1208
0.0663,-0.0937
0.0597,-0.0628
0.0532,-0.0268
0.0467,0.0160
0.0402,0.0680
0.0339,0.1324
0.0276,0.2150
0.0215,0.3204
0.0156,0.4531
0.0100,0.6322
0.0051,0.8819
0.0014,1.0530
0.0000,0.9066
1.0000,0.2645
0.9933,0.2530
0.9865,0.2311
0.9798,0.2110
0.9731,0.1928
0.9663,0.1757
0.9596,0.1600
0.9529,0.1452
0.9461,0.1310
0.9394,0.1176
0.9327,0.1049
0.9259,0.0926
0.9192,0.0809
0.9124,0.0699
0.9057,0.0595
0.8989,0.0492
0.8922,0.0389
0.8855,0.0289
0.8787,0.0193
0.8720,0.0103
0.8652,0.0014
0.8585,-0.0073
0.8517,-0.0156
0.8450,-0.0236
0.8382,-0.0312
0.8315,-0.0389
0.8247,-0.0467
0.8180,-0.0544
0.8112,-0.0620
0.8045,-0.0694
0.7977,-0.0766
0.7909,-0.0837
0.7842,-0.0908
0.7774,-0.0978
0.7707,-0.1047
0.7639,-0.1117
0.7572,-0.1184
0.7504,-0.1251
0.7436,-0.1319
0.7369,-0.1386
0.7301,-0.1453
0.7233,-0.1521
0.7166,-0.1588
0.7098,-0.1653
0.7031,-0.1716
0.6963,-0.1778
0.6895,-0.1841
0.6828,-0.1905
0.6760,-0.1970
0.6692,-0.2036
0.6625,-0.2102
0.6557,-0.2169
0.6489,-0.2235
0.6422,-0.2300
0.6354,-0.2365
0.6286,-0.2429
0.6218,-0.2494
0.6151,-0.2560
0.6083,-0.2626
0.6015,-0.2691
0.5948,-0.2758
0.5880,-0.2825
0.5812,-0.2891
0.5744,-0.2957
0.5677,-0.3025
0.5609,-0.3094
0.5541,-0.3166
0.5473,-0.3239
0.5405,-0.3312
0.5338,-0.3384
0.5270,-0.3454
0.5202,-0.3521
0.5134,-0.3590
0.5066,-0.3661
0.4999,-0.3736
0.4931,-0.3814
0.4863,-0.3894
0.4795,-0.3971
0.4727,-0.4047
0.4659,-0.4123
0.4591,-0.4199
0.4524,-0.4276
0.4456,-0.4354
0.4388,-0.4433
0.4320,-0.4513
0.4252,-0.4594
0.4184,-0.4675
0.4116,-0.4757
0.4048,-0.4840
0.3980,-0.4924
0.3912,-0.5010
0.3845,-0.5098
0.3777,-0.5190
0.3709,-0.5281
0.3641,-0.5370
0.3573,-0.5458
0.3505,-0.5546
0.3437,-0.5637
0.3369,-0.5728
0.3301,-0.5822
0.3233,-0.5920
0.3165,-0.6022
0.3097,-0.6126
0.3029,-0.6229
0.2961,-0.6328
0.2893,-0.6424
0.2825,-0.6521
0.2757,-0.6623
