"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
2782, 3.805503366161557e-01, -5.853971321446323e-02, 7.351459936735345e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.452969708910949e+00, 0.000000000000000e+00, 5.811878835643797e-01, 1.106804694567192e+00, 0.000000000000000e+00, -4.159307210041708e-01, 4.337017237351614e-08, 3.149930298908033e-03, 1.074194538380880e-04, -5.347202335650253e+03, 7.197993210366641e+00, 0.000000000000000e+00
2903, 3.935090222433061e-01, -5.804232246197969e-02, 7.469349463166818e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.480820304105833e+00, 0.000000000000000e+00, 5.923281216423332e-01, 1.110216323909527e+00, 0.000000000000000e+00, -3.811174770105661e-01, 4.347269724381125e-08, 2.692066984929358e-03, 1.033290923089207e-04, -3.998518100030040e+03, 6.717002387157653e+00, 0.000000000000000e+00
3024, 4.064677078486243e-01, -5.754493171033414e-02, 7.533005438621219e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.495963344371715e+00, 0.000000000000000e+00, 5.983853377486859e-01, 1.112091952772430e+00, 0.000000000000000e+00, -3.621886766782140e-01, 4.352899734683839e-08, 2.640156780869415e-03, 1.013366328726905e-04, -3.929514945836290e+03, 6.695186127665924e+00, 0.000000000000000e+00
3145, 4.194263934539424e-01, -5.704754095868858e-02, 7.556249234754349e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.499425049220128e+00, 0.000000000000000e+00, 5.997700196880510e-01, 1.111236542729746e+00, 0.000000000000000e+00, -3.578615456176979e-01, 4.350332655584901e-08, 2.937644899557539e-03, 1.224847743048696e-04, -4.913422749703976e+03, 7.100813489004917e+00, 0.000000000000000e+00
3266, 4.323815061534365e-01, -5.646445879911711e-02, 7.595954714179386e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.505588853373216e+00, 0.000000000000000e+00, 6.022355413492861e-01, 1.109972070153510e+00, 0.000000000000000e+00, -3.501567904263381e-01, 4.346536214631465e-08, 3.008176412771363e-03, 1.477566264516870e-04, -5.165974261154725e+03, 7.236401594368393e+00, 0.000000000000000e+00
3387, 4.453314002287037e-01, -5.577513007447434e-02, 7.581146761221687e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.501318231726734e+00, 0.000000000000000e+00, 6.005272926906937e-01, 1.108985535100613e+00, 0.000000000000000e+00, -3.554950674844394e-01, 4.343572784200668e-08, 2.564488106515640e-03, 1.365088629722628e-04, -3.748717199104582e+03, 6.703908016659056e+00, 0.000000000000000e+00
3508, 4.582812942857230e-01, -5.508580135080292e-02, 7.837031107102115e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.552084234246678e+00, 0.000000000000000e+00, 6.208336936986711e-01, 1.109051577440440e+00, 0.000000000000000e+00, -2.920375643345099e-01, 4.343771207476920e-08, 2.538481566644684e-03, 1.351245230805683e-04, -3.715977378651398e+03, 6.803001230572214e+00, 0.000000000000000e+00
3629, 4.712311883427422e-01, -5.439647262713149e-02, 7.496311018083377e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.484883470034511e+00, 0.000000000000000e+00, 5.939533880138040e-01, 1.109258595612444e+00, 0.000000000000000e+00, -3.760385195997196e-01, 4.344393153276897e-08, 2.733794340881041e-03, 1.526220908357084e-04, -4.326109801410755e+03, 6.925538435803861e+00, 0.000000000000000e+00
3750, 4.841773382816940e-01, -5.364007870812423e-02, 7.369533925226586e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.461112350422212e+00, 0.000000000000000e+00, 5.844449401688847e-01, 1.110277698072041e+00, 0.000000000000000e+00, -4.057524191150925e-01, 4.347454022554734e-08, 2.741900469699177e-03, 1.683050270051852e-04, -4.352060249790278e+03, 6.895430346160378e+00, 0.000000000000000e+00
3871, 4.971188070775807e-01, -5.280742283542079e-02, 7.761223721679905e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.540605372912760e+00, 0.000000000000000e+00, 6.162421491651040e-01, 1.111601777978907e+00, 0.000000000000000e+00, -3.063861410019073e-01, 4.351428841849463e-08, 2.433663123932727e-03, 1.565822183157786e-04, -3.449817939809998e+03, 6.683773479165280e+00, 0.000000000000000e+00
3992, 5.100602758650044e-01, -5.197476696326187e-02, 7.901755096544995e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.568620433842784e+00, 0.000000000000000e+00, 6.274481735371137e-01, 1.111686495239580e+00, 0.000000000000000e+00, -2.713673148393770e-01, 4.351683079953889e-08, 2.634437686534783e-03, 1.746300118308962e-04, -4.090957705196471e+03, 7.037029197571270e+00, 0.000000000000000e+00
4113, 5.229984183294252e-01, -5.109193081896960e-02, 7.831756319635322e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.555635338023985e+00, 0.000000000000000e+00, 6.222541352095941e-01, 1.112337710392394e+00, 0.000000000000000e+00, -2.875986846128759e-01, 4.353637073082714e-08, 2.612997690871121e-03, 1.837319452293748e-04, -4.055521419438869e+03, 6.995605250266941e+00, 0.000000000000000e+00
4234, 5.359327958625055e-01, -5.015555049639159e-02, 8.827190324934650e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.755103655620738e+00, 0.000000000000000e+00, 7.020414622482952e-01, 1.113443815039628e+00, 0.000000000000000e+00, -3.826328761693463e-02, 4.356954697214732e-08, 2.398447580055932e-03, 1.736348821545782e-04, -3.470730991569874e+03, 7.132535873271007e+00, 0.000000000000000e+00
4355, 5.488671733917611e-01, -4.921917017409046e-02, 7.789214977724096e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.547908627717150e+00, 0.000000000000000e+00, 6.191634510868599e-01, 1.112857757810761e+00, 0.000000000000000e+00, -2.972570724964201e-01, 4.355197091683690e-08, 2.505226529933296e-03, 1.865724408134478e-04, -3.814194408922881e+03, 6.872291632318939e+00, 0.000000000000000e+00
4476, 5.617975685439810e-01, -4.822931599719188e-02, 8.084119182889621e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.605964703284378e+00, 0.000000000000000e+00, 6.423858813137512e-01, 1.112477702880412e+00, 0.000000000000000e+00, -2.246869780373848e-01, 4.354057052302672e-08, 2.546238917333277e-03, 2.002259130066664e-04, -3.933477480760895e+03, 7.080011626555772e+00, 0.000000000000000e+00
