0  1.051    
-7.791e-04  9.332e-01
 7.107e-03  6.705e-01
 2.107e-02  3.318e-01
 3.520e-02  1.106e-01
 5.768e-02 -3.456e-02
 8.434e-02 -1.452e-01
 1.131e-01 -2.005e-01
 1.502e-01 -2.488e-01
 1.873e-01 -2.627e-01
 2.264e-01 -2.765e-01
 2.738e-01 -2.765e-01
 3.213e-01 -2.558e-01
 3.667e-01 -2.281e-01
 4.183e-01 -2.074e-01
 4.698e-01 -1.935e-01
 5.256e-01 -1.590e-01
 5.771e-01 -1.313e-01
 6.287e-01 -1.175e-01
 6.803e-01 -8.295e-02
 7.298e-01 -4.839e-02
 7.752e-01 -2.074e-02
 8.206e-01  0.000    
 8.599e-01  4.839e-02
 8.970e-01  8.295e-02
 9.280e-01  1.244e-01
 9.549e-01  1.728e-01
 9.755e-01  2.005e-01
 9.942e-01  2.765e-01
 9.942e-01  2.558e-01
 9.776e-01  1.935e-01
 9.527e-01  1.175e-01
 9.342e-01  1.037e-01
 8.969e-01 -2.074e-02
 9.298e-01 -6.912e-02
 8.598e-01 -2.765e-02
 8.205e-01 -8.295e-02
 7.771e-01 -1.313e-01
 7.297e-01 -1.728e-01
 6.801e-01 -2.143e-01
 6.285e-01 -2.627e-01
 5.790e-01 -3.111e-01
 5.232e-01 -3.664e-01
 4.736e-01 -4.286e-01
 4.199e-01 -4.977e-01
 3.683e-01 -5.668e-01
 3.208e-01 -6.290e-01
 2.753e-01 -6.982e-01
 2.299e-01 -7.673e-01
 1.844e-01 -8.502e-01
 1.472e-01 -9.194e-01
 1.141e-01 -9.954e-01
 8.105e-02 -1.037    
 5.627e-02 -1.065    
 3.155e-02 -1.044    
 1.930e-02 -9.608e-01
 5.264e-03 -6.705e-01
-4.010e-03  8.295e-02
