"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     
          0,           0,          21,      -4.724388607,      -4.919474808,      -4.812494244,      -4.330724317,      -11.51140666,      0.1980341186,       0.162719775,                 0,                 0,                 0,     0.07865303373,      0.1922346433,      0.1695319415,                 0,      0.8216754574,     0.01113249368
          0,           0,          22,       -4.70842452,      -4.916239869,      -4.820177994,      -4.319986145,      -11.49793973,      0.1941825068,      0.1619131685,                 0,                 0,                 0,     0.07791329352,       0.188413528,      0.1685914071,                 0,        0.83381954,     0.01113249368
          0,           0,          23,      -4.696180242,      -4.912676826,      -4.828392454,      -4.311810613,      -11.47848682,      0.1896615834,      0.1609316045,                 0,                 0,                 0,     0.07700727335,      0.1839296147,      0.1674526631,                 0,      0.8485197771,     0.01113249368
          0,           0,          24,      -4.682929409,      -4.910587868,      -4.838635437,       -4.30166731,      -11.46607756,      0.1854394373,      0.1600490274,                 0,                 0,                 0,     0.07615890578,      0.1797408421,      0.1664232729,                 0,      0.8630797729,     0.01113249368
          0,           0,          25,      -4.672892306,      -4.907214486,      -4.848628277,      -4.294240395,      -11.44715433,      0.1806146133,       0.159045809,                 0,                 0,                 0,     0.07517127391,       0.174953969,      0.1652522817,                 0,      0.8805810678,     0.01113249368
          0,           0,          26,      -4.661757709,      -4.905275829,      -4.859156215,      -4.284993948,      -11.43560626,      0.1761919232,      0.1581471951,                 0,                 0,                 0,     0.07428441427,      0.1705653343,      0.1641998656,                 0,      0.8975848168,     0.01113249368
          0,           0,          27,      -4.652784258,      -4.901601944,      -4.868122938,       -4.27756595,      -11.41715148,      0.1712338056,      0.1572665158,                 0,                 0,                 0,     0.07337454612,      0.1656409723,      0.1631466869,                 0,      0.9184314702,     0.01113249368
          0,           0,          28,      -4.642351345,      -4.899411478,      -4.877511104,      -4.267947891,      -11.40500261,      0.1667519893,      0.1565600818,                 0,                 0,                 0,     0.07263152653,      0.1611865404,      0.1622842701,                 0,      0.9388798446,     0.01113249368
          0,           0,          29,      -4.633777107,      -4.895327344,      -4.885697543,      -4.260167301,      -11.38545516,      0.1617931764,      0.1559524227,                 0,                 0,                 0,     0.07194230978,      0.1562519553,      0.1615039211,                 0,      0.9638998762,    0.001132493802
          0,           0,          30,      -4.623931421,      -4.893470542,      -4.894076553,      -4.250822357,      -11.37176717,      0.1573514506,      0.1555732283,                 0,                 0,                 0,     0.07145579503,       0.151826169,      0.1609699437,                 0,      0.9886990409,    0.001132493802
          0,           0,          31,      -4.616142418,      -4.890006285,      -4.901106302,      -4.243709335,      -11.35061857,      0.1524665826,      0.1553942395,                 0,                 0,                 0,      0.0710883704,      0.1469505233,      0.1606205845,                 0,       1.019201958,    0.001132493802
          0,           0,          32,      -4.607486228,      -4.888937434,      -4.909083415,      -4.235635728,      -11.33130137,      0.1476053351,      0.1554158051,                 0,                 0,                 0,     0.07084451124,      0.1420914846,      0.1604724819,                 0,        1.05291455,    0.001132493802
          0,           0,          33,      -4.599984453,      -4.888650543,      -4.916662906,      -4.228900699,      -11.31140664,      0.1427665507,      0.1557412733,                 0,                 0,                 0,      0.0707757842,      0.1372442891,      0.1606288807,                 0,        1.09088069,     0.01113249369
          0,           0,          34,      -4.593799456,      -4.888344633,      -4.923693219,      -4.223770773,      -11.28798298,      0.1374377833,      0.1564666297,                 0,                 0,                 0,     0.07087501631,      0.1318934533,      0.1611678239,                 0,       1.138454259,     0.01113249369
          0,           0,          35,      -4.587507723,      -4.890597395,      -4.931056638,      -4.218500549,      -11.26990781,      0.1326497556,      0.1574268716,                 0,                 0,                 0,     0.07109655527,      0.1270748304,      0.1619603811,                 0,        1.18678599,     0.01113249369
          0,           0,          36,      -4.583365009,      -4.888443839,      -4.935551071,      -4.215639472,      -11.24596738,      0.1273558051,      0.1587700031,                 0,                 0,                 0,     0.07141243618,      0.1217372302,      0.1631179382,                 0,        1.24666483,     0.01113249369
          0,           0,          37,      -4.578617245,      -4.889794831,       -4.94003634,      -4.212018174,      -11.22383177,       0.122069498,      0.1603340309,                 0,                 0,                 0,     0.07175385747,      0.1163995596,      0.1644965238,                 0,       1.313465145,     0.01113249369
          0,           0,          38,      -4.574561449,      -4.890874076,      -4.942729391,      -4.209093036,      -11.20317521,       0.116840185,      0.1621645243,                 0,                 0,                 0,     0.07215466899,      0.1111095488,      0.1661434017,                 0,       1.387917388,     0.01113249369
          0,           0,          39,      -4.571229287,      -4.890517584,      -4.943270973,      -4.206938467,      -11.18248026,      0.1117268714,      0.1642409894,                 0,                 0,                 0,     0.07260824886,      0.1059268825,      0.1680401498,                 0,       1.470022273,     0.01113249369
          0,           0,          40,      -4.567948466,      -4.889238983,      -4.942495425,      -4.204658568,      -11.15780182,      0.1063276768,      0.1666849704,                 0,                 0,                 0,     0.07308344905,      0.1004456833,      0.1702942129,                 0,       1.567653648,     0.01113249369
          0,           0,          41,      -4.564409492,      -4.889875411,      -4.941026479,      -4.201976021,      -11.13924417,      0.1017418502,      0.1690514176,                 0,                 0,                 0,     0.07353643107,     0.09578006245,      0.1724991754,                 0,       1.661572079,     0.01113249369
          0,           0,          42,      -4.561850909,      -4.886570777,      -4.938604835,      -4.200372933,      -11.11693117,     0.09710985392,      0.1717582304,                 0,                 0,                 0,     0.07401256183,     0.09105642142,      0.1750426849,                 0,       1.768700327,     0.01113249369
          0,           0,          43,      -4.558655888,      -4.885523961,      -4.936637478,      -4.197960587,      -11.09314057,     0.09335677163,      0.1742186016,                 0,                 0,                 0,     0.07440651268,      0.0872197597,      0.1773705767,                 0,       1.866159236,     0.01113249369
          0,           0,          44,       -4.55555955,      -4.882553599,      -4.934553946,      -4.195692969,      -11.07304837,     0.08978328773,       0.176960609,                 0,                 0,                 0,     0.07482540059,     0.08355275799,       0.179986201,                 0,       1.970974927,     0.01113249369
          0,           0,          45,      -4.552061561,      -4.881779959,      -4.933167902,      -4.193007574,       -11.0535638,     0.08705398042,      0.1794025966,                 0,                 0,                 0,     0.07518011014,     0.08073988916,      0.1823314495,                 0,       2.060820146,     0.01113249369
          0,           0,          46,      -4.548727185,      -4.880251434,      -4.931862052,      -4.190568408,      -11.02772108,     0.08465050261,      0.1820413683,                 0,                 0,                 0,     0.07555329467,     0.07824578368,      0.1848847336,                 0,       2.150505463,    0.001132493802
          0,           0,          47,      -4.545185151,      -4.881223054,       -4.93108864,      -4.187929092,      -11.01086913,     0.08295865557,      0.1843370181,                 0,                 0,                 0,      0.0758786395,     0.07647485024,      0.1871199403,                 0,       2.222034781,    0.001132493802
          0,           0,          48,      -4.541757234,      -4.881251641,      -4.930286941,      -4.185432474,      -10.99119673,     0.08163182959,      0.1868057837,                 0,                 0,                 0,     0.07626238131,     0.07506267385,      0.1895408964,                 0,       2.288393934,    0.001132493802
          0,           0,          49,      -4.538161473,      -4.882502204,      -4.929517539,      -4.182737949,      -10.96719873,     0.08081735162,      0.1889445884,                 0,                 0,                 0,     0.07664167008,     0.07417404884,      0.1916499734,                 0,       2.337921061,    0.001132493802
