"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
6412, 1.169410000000000e-01, -4.943500000000000e-02, 1.125642227283234e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.361580742392353e+05, 0.000000000000000e+00, 9.446322969569408e+04, 2.923430398102341e+02, 0.000000000000000e+00, -2.437476429536235e-01, 1.809458209817647e-05, 3.821597105645223e-03, -5.345686427539410e-04, -2.452553007296284e+03, 6.354573467558741e+00, 0.000000000000000e+00
6533, 1.128190000000000e-01, -4.884700000000000e-02, 1.127950650203646e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.366311807309332e+05, 0.000000000000000e+00, 9.465247229237328e+04, 2.923292069960907e+02, 0.000000000000000e+00, -2.370252615795297e-01, 1.809391930245064e-05, 3.796450752200608e-03, -5.523995927599185e-04, -2.369482919265462e+03, 6.312359948360211e+00, 0.000000000000000e+00
6654, 1.085220000000000e-01, -4.821000000000000e-02, 1.130224106293035e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.371354627478188e+05, 0.000000000000000e+00, 9.485418509912751e+04, 2.923629104503585e+02, 0.000000000000000e+00, -2.298599064278057e-01, 1.809553416827546e-05, 3.840700494355895e-03, -5.821637923543524e-04, -2.372626543681694e+03, 6.327513321134699e+00, 0.000000000000000e+00
6775, 1.040710000000000e-01, -4.752100000000000e-02, 1.132889406273699e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.377034050598623e+05, 0.000000000000000e+00, 9.508136202394489e+04, 2.923736462165710e+02, 0.000000000000000e+00, -2.217900006306180e-01, 1.809604854242579e-05, 3.840090729530240e-03, -6.081169207002892e-04, -2.330489916184379e+03, 6.309179743708069e+00, 0.000000000000000e+00
6896, 9.947300000000001e-02, -4.677700000000000e-02, 1.135747126540037e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.383127247346082e+05, 0.000000000000000e+00, 9.532508989384325e+04, 2.923855611465345e+02, 0.000000000000000e+00, -2.131321629043169e-01, 1.809661940222349e-05, 3.856573354236011e-03, -6.389711348305205e-04, -2.241497541206035e+03, 6.314036182254696e+00, 0.000000000000000e+00
7017, 9.474600000000000e-02, -4.597600000000000e-02, 1.138922326801041e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.389976261346616e+05, 0.000000000000000e+00, 9.559905045386462e+04, 2.924083816941981e+02, 0.000000000000000e+00, -2.034003826484901e-01, 1.809771273299092e-05, 3.879323661177482e-03, -6.740639939459465e-04, -2.245326700505772e+03, 6.315246212838549e+00, 0.000000000000000e+00
7138, 8.993100000000000e-02, -4.511900000000000e-02, 1.142494497617867e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.397568165034187e+05, 0.000000000000000e+00, 9.590272660136748e+04, 2.924200741496441e+02, 0.000000000000000e+00, -1.926130286724163e-01, 1.809827290170912e-05, 3.885504985812349e-03, -7.094365834531854e-04, -2.225679288629213e+03, 6.308806386848471e+00, 0.000000000000000e+00
7259, 8.502999999999999e-02, -4.420200000000000e-02, 1.146293475808628e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.405707690312584e+05, 0.000000000000000e+00, 9.622830761250333e+04, 2.924404022030242e+02, 0.000000000000000e+00, -1.810475578776536e-01, 1.809924676374881e-05, 3.901993576956489e-03, -7.496830832578189e-04, -2.137415528918524e+03, 6.323974937160072e+00, 0.000000000000000e+00
7380, 8.007300000000001e-02, -4.322500000000000e-02, 1.150658015943274e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.415065383793523e+05, 0.000000000000000e+00, 9.660261535174090e+04, 2.924643682841017e+02, 0.000000000000000e+00, -1.677511889914488e-01, 1.810039487185889e-05, 3.918318937139945e-03, -7.946379226740657e-04, -2.154824518884510e+03, 6.329434230983380e+00, 0.000000000000000e+00
7501, 7.510400000000000e-02, -4.218900000000000e-02, 1.155387623077587e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.425147988479410e+05, 0.000000000000000e+00, 9.700591953917638e+04, 2.924831633442012e+02, 0.000000000000000e+00, -1.534247920528866e-01, 1.810129522761431e-05, 3.927720039874936e-03, -8.426414562273141e-04, -2.112323938003836e+03, 6.338439182735769e+00, 0.000000000000000e+00
7622, 7.012599999999999e-02, -4.109100000000000e-02, 1.160669950751499e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.436469847243232e+05, 0.000000000000000e+00, 9.745879388972925e+04, 2.925112925081934e+02, 0.000000000000000e+00, -1.373375360524716e-01, 1.810264267068448e-05, 3.935202596601960e-03, -8.946530222143470e-04, -2.083114988881834e+03, 6.352942514465227e+00, 0.000000000000000e+00
7743, 6.519400000000000e-02, -3.993600000000000e-02, 1.166737354422104e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.449462344181680e+05, 0.000000000000000e+00, 9.797849376726717e+04, 2.925418486613307e+02, 0.000000000000000e+00, -1.188764663029257e-01, 1.810410630045970e-05, 3.943696341088017e-03, -9.531604510417630e-04, -2.102049107560839e+03, 6.365317971567504e+00, 0.000000000000000e+00
7864, 6.031600000000000e-02, -3.872000000000000e-02, 1.173417270892541e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.463792578347167e+05, 0.000000000000000e+00, 9.855170313388665e+04, 2.925782266189794e+02, 0.000000000000000e+00, -9.851460255112360e-02, 1.810584869649023e-05, 3.942249756897428e-03, -1.014175213831451e-03, -2.018754286535133e+03, 6.387951583182387e+00, 0.000000000000000e+00
7985, 5.551500000000000e-02, -3.744600000000000e-02, 1.180940370760317e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.479908811124645e+05, 0.000000000000000e+00, 9.919635244498577e+04, 2.926160065044675e+02, 0.000000000000000e+00, -7.561500913082468e-02, 1.810765812992696e-05, 3.941002821471800e-03, -1.081697187918739e-03, -2.016971899620529e+03, 6.408894243774386e+00, 0.000000000000000e+00
